datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
2005-01-01,1104517800,18.7,12.4,15.0,18.7,12.4,15.0,12.8,87.2,5.0,100.0,4.17,['rain'],,,,3.6,100.0,1015.9,67.1,2.6,,,,07:23:45,1104544425,17:38:03,1104581283,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,['42101099999'],obs,
2005-01-02,1104604200,19.7,10.4,14.5,19.7,10.4,14.5,13.1,91.7,0.0,0.0,0.0,,,,,3.6,180.0,1016.6,57.1,1.9,,,,07:23:59,1104630839,17:38:46,1104667726,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-03,1104690600,17.7,9.9,12.7,17.7,9.9,12.7,10.8,89.1,0.0,0.0,0.0,,,,,7.6,306.0,1018.9,18.8,1.9,,,,07:24:11,1104717251,17:39:29,1104754169,0.75,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-04,1104777000,18.1,7.9,12.2,18.1,7.9,12.2,10.5,89.8,0.0,0.0,0.0,,,,,5.4,320.0,1020.9,27.5,1.8,,,,07:24:22,1104803662,17:40:14,1104840614,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-05,1104863400,18.1,8.4,12.1,18.1,8.4,12.1,10.1,88.2,0.0,0.0,0.0,,,,,7.6,320.0,1019.0,20.0,3.1,,,,07:24:30,1104890070,17:41:00,1104927060,0.82,Clear,Partly cloudy throughout the day.,clear-day,['42101099999'],obs,
2005-01-06,1104949800,18.1,7.2,11.4,18.1,7.2,11.4,9.9,91.4,0.0,0.0,0.0,,,,,5.4,307.3,1019.3,8.6,1.4,,,,07:24:38,1104976478,17:41:46,1105013506,0.86,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-07,1105036200,18.7,5.2,11.5,18.7,5.2,11.5,9.0,86.2,0.0,0.0,0.0,,,,,9.4,291.5,1018.4,0.0,2.1,,,,07:24:43,1105062883,17:42:33,1105099953,0.89,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-08,1105122600,19.7,7.7,12.2,19.7,7.7,12.2,8.1,78.8,0.0,0.0,0.0,,,,,5.4,287.8,1017.0,0.0,2.8,,,,07:24:47,1105149287,17:43:21,1105186401,0.92,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-09,1105209000,20.1,7.1,13.0,20.1,7.1,13.0,8.8,78.3,0.1,100.0,4.17,['rain'],,,,5.4,320.0,1015.0,14.3,2.6,,,,07:24:49,1105235689,17:44:09,1105272849,0.96,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,['42101099999'],obs,
2005-01-10,1105295400,19.4,7.2,12.2,19.4,7.2,12.2,9.3,84.4,0.0,0.0,0.0,,,,,7.6,294.3,1011.1,21.7,1.3,,,,07:24:50,1105322090,17:44:58,1105359298,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-11,1105381800,18.2,5.6,11.2,18.2,5.6,11.2,8.9,87.1,0.0,0.0,0.0,,,,,0.0,,1016.3,41.3,1.4,,,,07:24:49,1105408489,17:45:48,1105445748,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-12,1105468200,18.4,6.7,11.2,18.4,6.7,11.2,8.4,84.9,0.0,0.0,0.0,,,,,5.4,320.0,1019.0,10.0,1.4,,,,07:24:46,1105494886,17:46:38,1105532198,0.06,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-13,1105554600,20.1,9.9,14.2,20.1,9.9,14.2,7.8,68.4,0.0,0.0,0.0,,,,,9.4,310.8,1016.3,15.7,3.1,,,,07:24:41,1105581281,17:47:28,1105618648,0.09,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-14,1105641000,20.7,9.4,13.7,20.7,9.4,13.7,9.1,75.6,0.0,0.0,0.0,,,,,7.6,320.0,1015.7,18.8,3.0,,,,07:24:35,1105667675,17:48:19,1105705099,0.13,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-15,1105727400,21.4,9.2,13.5,21.4,9.2,13.5,8.2,74.6,0.0,0.0,0.0,,,,,5.4,320.0,1015.2,46.3,2.8,,,,07:24:27,1105754067,17:49:10,1105791550,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-16,1105813800,18.7,5.9,12.6,18.7,5.9,12.6,9.0,79.1,0.0,0.0,0.0,,,,,3.6,320.0,1016.0,65.0,3.5,,,,07:24:18,1105840458,17:50:02,1105878002,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-17,1105900200,14.4,8.2,11.4,14.4,8.2,11.4,9.5,88.6,1.2,100.0,8.33,['rain'],,,,3.6,320.0,1014.5,58.6,3.3,,,,07:24:07,1105926847,17:50:54,1105964454,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['42101099999'],obs,
2005-01-18,1105986600,17.6,5.9,10.5,17.6,5.9,10.5,7.6,84.7,0.0,0.0,0.0,,,,,5.4,320.0,1017.4,1.3,2.9,,,,07:23:54,1106013234,17:51:46,1106050906,0.26,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-19,1106073000,18.1,5.6,10.8,18.1,5.6,10.8,7.8,84.1,0.0,0.0,0.0,,,,,11.2,307.8,1019.7,0.0,3.1,,,,07:23:39,1106099619,17:52:38,1106137358,0.29,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
2005-01-20,1106159400,17.4,5.7,11.0,17.4,4.7,10.9,6.7,77.5,0.0,0.0,0.0,,,,,5.4,317.2,1019.7,37.5,3.8,,,,07:23:23,1106186003,17:53:31,1106223811,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-21,1106245800,14.7,8.7,11.5,14.7,8.7,11.5,8.8,84.1,0.4,100.0,4.17,['rain'],,,,5.4,320.0,1020.3,78.8,3.0,,,,07:23:05,1106272385,17:54:23,1106310263,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,['42101099999'],obs,
2005-01-22,1106332200,13.7,10.1,11.5,13.7,10.1,11.5,9.8,90.1,0.7,100.0,4.17,['rain'],,,,9.4,77.9,1018.2,96.3,2.3,,,,07:22:46,1106358766,17:55:16,1106396716,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,['42101099999'],obs,
2005-01-23,1106418600,13.4,7.1,9.2,13.4,7.1,9.2,8.0,92.5,13.3,100.0,8.33,['rain'],,,,5.4,331.2,1017.5,62.9,3.1,,,,07:22:25,1106445145,17:56:09,1106483169,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,['42101099999'],obs,
2005-01-24,1106505000,12.4,5.7,9.2,12.4,5.7,9.2,8.2,93.5,0.0,0.0,0.0,,,,,3.6,312.3,1019.8,72.9,1.3,,,,07:22:02,1106531522,17:57:02,1106569622,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-25,1106591400,16.2,7.4,11.2,16.2,7.4,11.2,9.6,90.8,0.0,0.0,0.0,,,,,3.6,320.0,1018.8,47.1,1.4,,,,07:21:38,1106617898,17:57:55,1106656075,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['42101099999'],obs,
2005-01-26,1106677800,19.1,5.1,11.0,19.1,5.1,11.0,9.2,90.5,0.0,0.0,0.0,,,,,3.6,331.1,1014.3,4.3,1.7,,,,07:21:12,1106704272,17:58:47,1106742527,0.53,Clear,Clear conditions throughout the day.,clear-day,['42101099999'],obs,
